"Otroci, vkljuèeni v vrtec, po statistièni regiji zavoda, vrsti vrtca (lastnina) in starosti otrok, Slovenija, letno"

"STATISTIÈNA REGIJA ZAVODA";"STAROST";"VRSTA ZAVODA (LASTNINA)";"2006/07";"2007/08";"2008/09";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18";"2018/19"
"SLOVENIJA";"Starost - SKUPAJ";"Vrsta zavoda  - SKUPAJ";58127;61359;65966;71124;75972;81221;83090;83700;84750;85407;86284;86703;87147
"SLOVENIJA";"1 leto ali manj";"Vrsta zavoda  - SKUPAJ";5281;6361;7799;8698;9099;9423;9385;9313;9060;9562;9839;10232;10605
"SLOVENIJA";"2 leti";"Vrsta zavoda  - SKUPAJ";9619;10113;11698;13192;14649;15406;15471;14654;15246;14851;15686;15807;16134
"SLOVENIJA";"3 leta";"Vrsta zavoda  - SKUPAJ";12241;13571;14283;15687;16909;18929;18680;18809;18363;18552;18153;18445;18429
"SLOVENIJA";"4 leta";"Vrsta zavoda  - SKUPAJ";14657;14523;15608;16143;17324;18311;19930;19680;20255;19892;19997;19415;19681
"SLOVENIJA";"5 let";"Vrsta zavoda  - SKUPAJ";15458;16012;15802;16497;16841;18077;18636;20148;20362;20929;20741;20791;20072
"SLOVENIJA";"6 let ali veè";"Vrsta zavoda  - SKUPAJ";871;779;776;907;1150;1075;988;1096;1464;1621;1868;2013;2226
"Pomurska";"Starost - SKUPAJ";"Vrsta zavoda  - SKUPAJ";3133;3276;3458;3717;3902;4049;4001;3975;3897;3874;3875;4000;4008
"Pomurska";"1 leto ali manj";"Vrsta zavoda  - SKUPAJ";266;276;369;467;520;493;445;445;405;409;415;452;499
"Pomurska";"2 leti";"Vrsta zavoda  - SKUPAJ";526;524;547;659;751;802;729;653;686;706;719;758;714
"Pomurska";"3 leta";"Vrsta zavoda  - SKUPAJ";698;722;732;762;830;892;913;881;790;832;851;838;868
"Pomurska";"4 leta";"Vrsta zavoda  - SKUPAJ";769;834;835;867;873;916;954;961;947;911;919;929;911
