"Vrtci po številu otrok in statistièni regiji zavoda, Slovenija, letno"

"STATISTIÈNA REGIJA";"2006/07 Vrtci";"2007/08 Vrtci";"2008/09 Vrtci";"2009/10 Vrtci";"2010/11 Vrtci";"2011/12 Vrtci";"2012/13 Vrtci";"2013/14 Vrtci";"2014/15 Vrtci";"2015/16 Vrtci";"2016/17 Vrtci";"2017/18 Vrtci";"2018/19 Vrtci"
"SLOVENIJA";793;811;845;863;891;922;938;960;979;978;946;953;968
"Pomurska";67;67;66;69;71;72;71;71;71;69;68;67;67
"Podravska";126;132;133;131;131;132;134;137;137;136;130;131;137
"Koroška";30;31;32;33;33;36;36;36;33;34;34;33;35
"Savinjska";100;100;112;115;121;124;125;126;129;123;117;122;120
"Zasavska";13;13;13;13;14;14;14;14;14;24;25;25;26
"Posavska";31;34;34;34;36;35;36;36;33;36;36;36;37
"Jugovzhodna Slovenija";51;50;52;55;59;61;63;64;70;68;53;51;53
"Osrednjeslovenska";182;190;201;214;220;234;244;252;266;261;263;269;273
"Gorenjska";71;72;72;76;81;84;86;88;90;91;88;90;88
"Primorsko-notranjska";17;17;18;17;18;20;20;20;20;20;21;20;20
"Goriška";56;56;63;57;57;59;60;66;66;67;57;57;57
"Obalno-kraška";49;49;49;49;50;51;49;50;50;49;54;52;55
