"Vrtci po številu otrok in statistièni regiji zavoda, Slovenija, letno"

"STATISTIÈNA REGIJA";"2006/07 Vrtci";"2006/07 Otroci";"2007/08 Vrtci";"2007/08 Otroci";"2008/09 Vrtci";"2008/09 Otroci";"2009/10 Vrtci";"2009/10 Otroci";"2010/11 Vrtci";"2010/11 Otroci";"2011/12 Vrtci";"2011/12 Otroci";"2012/13 Vrtci";"2012/13 Otroci";"2013/14 Vrtci";"2013/14 Otroci";"2014/15 Vrtci";"2014/15 Otroci";"2015/16 Vrtci";"2015/16 Otroci";"2016/17 Vrtci";"2016/17 Otroci";"2017/18 Vrtci";"2017/18 Otroci";"2018/19 Vrtci";"2018/19 Otroci"
"SLOVENIJA";793;58127;811;61359;845;65966;863;71124;891;75972;922;81221;938;83090;960;83700;979;84750;978;85407;946;86284;953;86703;968;87147
"Pomurska";67;3133;67;3276;66;3458;69;3717;71;3902;72;4049;71;4001;71;3975;71;3897;69;3874;68;3875;67;4000;67;4008
"Podravska";126;8274;132;8812;133;9369;131;10090;131;10637;132;11396;134;11472;137;11640;137;11739;136;11826;130;11949;131;12127;137;12376
"Koroška";30;1788;31;1845;32;1979;33;2164;33;2256;36;2492;36;2510;36;2481;33;2438;34;2457;34;2521;33;2594;35;2641
"Savinjska";100;7372;100;8023;112;8630;115;9131;121;9868;124;10453;125;10651;126;10715;129;10636;123;10514;117;10588;122;10726;120;10677
"Zasavska";13;931;13;939;13;1084;13;1162;14;1267;14;1399;14;1388;14;1328;14;1358;24;1900;25;2131;25;2121;26;2160
"Posavska";31;1862;34;1901;34;2018;34;2196;36;2329;35;2531;36;2581;36;2472;33;2622;36;2897;36;3078;36;3066;37;3068
"Jugovzhodna Slovenija";51;4224;50;4284;52;4730;55;5231;59;5554;61;5751;63;6013;64;5942;70;6144;68;6355;53;6420;51;6444;53;6460
"Osrednjeslovenska";182;17904;190;18883;201;19998;214;21488;220;22895;234;24634;244;25411;252;25915;266;26300;261;25898;263;26034;269;26073;273;26120
"Gorenjska";71;5580;72;5924;72;6434;76;7142;81;7568;84;8016;86;8214;88;8244;90;8422;91;8468;88;8413;90;8451;88;8554
"Primorsko-notranjska";17;1193;17;1277;18;1448;17;1558;18;1768;20;1862;20;1905;20;1934;20;2009;20;2042;21;2107;20;2099;20;2115
"Goriška";56;2916;56;3099;63;3430;57;3522;57;3868;59;4282;60;4475;66;4544;66;4633;67;4639;57;4620;57;4561;57;4456
"Obalno-kraška";49;2950;49;3096;49;3388;49;3723;50;4060;51;4356;49;4469;50;4510;50;4552;49;4537;54;4548;52;4441;55;4512
